u (cm/s),C_d
28.38306357,0.915946502
28.11568317,0.915930314
27.71447766,0.912878778
27.17971686,0.912846401
27.04575685,0.9067838
26.77837645,0.906767611
26.51072624,0.900696916
27.04535214,0.897702039
27.44642274,0.897726322
27.98145335,0.903813206
28.24842904,0.894747634
22.90109084,0.900478371
23.30189163,0.894448147
23.70228771,0.879336163
23.83597791,0.879344257
22.36444137,0.858064447
25.70777562,0.88248483
25.30603049,0.86732428
24.90455518,0.858218237
25.30495126,0.843106253
25.70615676,0.84615779
25.57287128,0.855231455
25.84011677,0.852220391
26.9103129,0.867421411
26.6430674,0.870432476
26.50964701,0.876478889
27.04481252,0.885593026
26.77743212,0.885576837
29.05043534,0.891768947
29.58492633,0.885746817
30.38720243,0.888822636
30.52035302,0.876721717
31.45672404,0.88888739
28.64882512,0.87963565
28.64855531,0.873581144
28.7818408,0.864507478
28.64774588,0.855417623
28.91472157,0.846352052
28.64693646,0.837254103
29.04760235,0.828196626
28.77968233,0.816071424
27.84600939,0.864450818
27.71150977,0.846279203
28.11285018,0.852357993
26.64171836,0.840159943
26.50762344,0.831070088
26.64104384,0.825023676
27.30962974,0.8280914
27.04251915,0.834129719
27.04143991,0.809911692
26.23929871,0.809863126
24.90239671,0.809782183
25.1693724,0.800716612
23.16320997,0.782431678
25.03446806,0.773463237
25.03352373,0.752272464
25.03311902,0.743190703
25.0327143,0.734108943
27.84344621,0.806933004
29.85109259,0.858517725
30.25202829,0.855514754
30.7870589,0.861601638
30.78665418,0.852519878
30.91993967,0.843446212
31.45443066,0.837424083
31.58758125,0.825323163
31.85563617,0.840475619
31.45483538,0.846505843
31.45524009,0.855587603
31.3219546,0.864661269
31.85725502,0.876802659
32.65966603,0.882905732
32.92691153,0.879894667
32.79268171,0.867777559
32.25805581,0.870772435
31.85644559,0.858639139
32.39093659,0.852617009
32.25684167,0.843527155
32.92515777,0.840540373
32.65750756,0.834469678
33.99575861,0.864823154
33.59414839,0.852689858
34.26246449,0.849703076
34.39561507,0.837602156
34.39601978,0.846683916
34.7977649,0.861844466
35.19829589,0.849759735
35.59923158,0.846756765
