Shields stress,slope (m/m),median grain size (cm),flow depth (cm),density (g/cm3),Re (reported),Re (calculated),Flow velocity(m/s),phi,Incipient Motion
0.055885255,0.06,4.1,6.1,2.597349643,7768.888762,7764.928074,nan,nan,None
0.061212026,0.02,2,9.9,2.617329256,2787.385872,2785.964824,nan,nan,None
0.064921845,0.03,2,7,2.617329256,2870.609691,2869.146214,nan,nan,None
0.076669608,0.04,2,6.2,2.617329256,3119.538427,3117.948043,nan,nan,None
0.020054256,0.01,1.1,3.7,2.677268094,662.7169079,662.3790456,nan,nan,None
0.082385051,0.02,1.1,7.6,2.677268094,1343.22567,1342.540875,nan,nan,None
0.052039986,0.02,2.05,9,2.6872579,2724.109855,2722.721065,nan,nan,None
0.054641986,0.03,2.05,6.3,2.6872579,2791.381956,2789.958871,nan,nan,None
0.041679649,0.03,2.3,5.2,2.627319062,2845.277561,2843.826999,nan,nan,None
0.044144734,0.03,2.35,5.8,2.677268094,3070.272976,3068.707708,nan,nan,None
0.043838389,0.03,2.3,5.1,2.517431193,2817.786312,2816.349765,nan,nan,None
0.035025707,0.01,2.3,11.5,2.427522936,2442.931333,2441.685893,nan,nan,None
0.051167989,0.02,2.3,8.4,2.427522936,2952.684067,2951.178748,nan,nan,None
0.046599419,0.03,2.3,5.1,2.427522936,2817.786312,2816.349765,nan,nan,None
0.038178249,0.03,2.3,4.5,2.537410805,2646.849353,2645.499953,nan,nan,None
0.022419567,0.03,2.35,2.7,2.537410805,2094.811143,2093.743179,nan,nan,None
0.0254642,0.04,2.35,2.3,2.537410805,2232.524737,2231.386564,nan,nan,None
0.017991011,0.01,2.35,6.5,2.537410805,1876.545263,1875.588574,nan,nan,None
0.029892756,0.02,2.35,5.4,2.537410805,2418.879555,2417.646376,nan,nan,None
0.021922808,0.01,2.35,7.2,2.397553517,1975.006886,1974,nan,nan,None
0.03532008,0.02,2.35,5.8,2.397553517,2506.867388,2505.589352,nan,nan,None
0.028788876,0.0019,0.15,3.75012987,2.65,39.65753509,39.63731713,nan,nan,None
0.041488023,0.0083,0.15,1.237142857,2.65,47.60742972,47.58315879,nan,nan,None
0.037541012,0.0141,0.15,0.658964578,2.65,45.28624941,45.26316184,nan,nan,None
0.049237675,0.0083,0.24,2.349170984,2.65,104.9644189,104.9109065,nan,nan,None
0.052612481,0.0141,0.24,1.477627119,2.65,108.5019962,108.4466803,nan,nan,None
0.043088195,0.0019,0.34,12.7223565,2.65,165.5670846,165.4826762,nan,nan,None
0.058841864,0.0083,0.34,3.977142857,2.65,193.4808837,193.3822445,nan,nan,None
0.065304813,0.0141,0.34,2.598297872,2.65,203.8296909,203.7257757,nan,nan,None
0.061153502,0.0238,0.34,1.44147541,2.65,197.2447799,197.1442217,nan,nan,None
0.057549938,0.0083,0.45,5.148292683,2.65,291.3517815,291.2032463,nan,nan,None
0.058518972,0.0141,0.45,3.081584158,2.65,293.7944519,293.6446714,nan,nan,None
0.057912004,0.0115,0.45,3.739101124,2.65,292.2668394,292.1178376,nan,nan,None
0.068452725,0.0287,0.45,1.770945946,2.65,317.7537017,317.5917064,nan,nan,None
0.057948646,0.0083,0.565,6.50875,2.65,411.3114439,411.1017516,nan,nan,None
